task,test_ind,rep,w1
coffee-button-v2,75000,8,2.9461834819177763
coffee-button-v2,75000,9,2.9406337535826004
coffee-button-v2,80000,0,3.1404277266807195
coffee-button-v2,80000,1,3.142404112311705
coffee-button-v2,80000,2,3.137187362921072
coffee-button-v2,80000,3,3.1402270231923617
coffee-button-v2,80000,4,3.147899178715033
coffee-button-v2,80000,5,3.140728100987864
coffee-button-v2,80000,6,3.150264774825721
coffee-button-v2,80000,7,3.1296608241715327
coffee-button-v2,80000,8,3.1456913570538028
coffee-button-v2,80000,9,3.14247977440518
coffee-button-v2,85000,0,3.317435089007788
coffee-button-v2,85000,1,3.320163833710391
coffee-button-v2,85000,2,3.329787507563669
coffee-button-v2,85000,3,3.31628371825476
coffee-button-v2,85000,4,3.3169039111327687
coffee-button-v2,85000,5,3.319555400018702
coffee-button-v2,85000,6,3.3125319856613125
coffee-button-v2,85000,7,3.3234971257656403
coffee-button-v2,85000,8,3.3272024420463504
coffee-button-v2,85000,9,3.307313292724072
coffee-button-v2,90000,0,3.511304853218812
coffee-button-v2,90000,1,3.5035240643646914
coffee-button-v2,90000,2,3.5119563720477966
coffee-button-v2,90000,3,3.5220852870037267
coffee-button-v2,90000,4,3.518695032212581
coffee-button-v2,90000,5,3.5102989990018147
coffee-button-v2,90000,6,3.514649510411978
coffee-button-v2,90000,7,3.505156206669648
coffee-button-v2,90000,8,3.5147593878736663
coffee-button-v2,90000,9,3.499581393621188
coffee-button-v2,95000,0,3.6628797762309713
coffee-button-v2,95000,1,3.66768791016566
coffee-button-v2,95000,2,3.676586480021544
coffee-button-v2,95000,3,3.666944303974541
coffee-button-v2,95000,4,3.6666856512199537
coffee-button-v2,95000,5,3.6703326626034913
coffee-button-v2,95000,6,3.664882363044887
coffee-button-v2,95000,7,3.669398341379832
coffee-button-v2,95000,8,3.6634777953764175
coffee-button-v2,95000,9,3.6620984522774753
coffee-button-v2,100000,0,3.858317943277057
coffee-button-v2,100000,1,3.864854842205334
coffee-button-v2,100000,2,3.87260899877926
coffee-button-v2,100000,3,3.8754374652199095
coffee-button-v2,100000,4,3.867182863784355
coffee-button-v2,100000,5,3.86594650938582
coffee-button-v2,100000,6,3.8621546889965424
coffee-button-v2,100000,7,3.8655475736450073
coffee-button-v2,100000,8,3.880172002975171
coffee-button-v2,100000,9,3.86622417083518
dial-turn-v2,0,0,0.1511996929478604
dial-turn-v2,0,1,0.1866634685342643
dial-turn-v2,0,2,0.1855753581063129
dial-turn-v2,0,3,0.1708934237086822
dial-turn-v2,0,4,0.1742273840887088
dial-turn-v2,0,5,0.1392631108510462
dial-turn-v2,0,6,0.153348111018515
dial-turn-v2,0,7,0.1396810057657423
dial-turn-v2,0,8,0.1453073119752965
dial-turn-v2,0,9,0.1417191068175285
dial-turn-v2,5000,0,0.2824618202257586
dial-turn-v2,5000,1,0.4227764006508166
dial-turn-v2,5000,2,0.3185950868412887
dial-turn-v2,5000,3,0.2833810658213073
dial-turn-v2,5000,4,0.3938954631812695
dial-turn-v2,5000,5,0.375518958874429
dial-turn-v2,5000,6,0.3205028726914608
dial-turn-v2,5000,7,0.3771305426509462
dial-turn-v2,5000,8,0.2885713270941987
dial-turn-v2,5000,9,0.4479911538291143
dial-turn-v2,10000,0,0.4324439391296659
dial-turn-v2,10000,1,0.455728345191294
dial-turn-v2,10000,2,0.4324544449859585
dial-turn-v2,10000,3,0.56053511361428
dial-turn-v2,10000,4,0.5049945871267749
dial-turn-v2,10000,5,0.614084001923097
dial-turn-v2,10000,6,0.5090412830250569
dial-turn-v2,10000,7,0.5321688853065718
dial-turn-v2,10000,8,0.5392128073173934
dial-turn-v2,10000,9,0.4318358947986672
