,task,ns_seq_ind,rep,w1
0,dial-turn-v2,75000,5,2.969429962369966
0,dial-turn-v2,75000,6,2.9768055079025015
0,dial-turn-v2,75000,7,2.991535127362286
0,dial-turn-v2,75000,8,2.9848607097138933
0,dial-turn-v2,75000,9,2.9607127440307313
0,dial-turn-v2,80000,0,3.1491138276877457
0,dial-turn-v2,80000,1,3.140133586779178
0,dial-turn-v2,80000,2,3.1485666206965184
0,dial-turn-v2,80000,3,3.151872692602882
0,dial-turn-v2,80000,4,3.1466158675926432
0,dial-turn-v2,80000,5,3.1531974789767205
0,dial-turn-v2,80000,6,3.1530603300644278
0,dial-turn-v2,80000,7,3.190842833087917
0,dial-turn-v2,80000,8,3.1855475321952014
0,dial-turn-v2,80000,9,3.1507362646063086
0,dial-turn-v2,85000,0,3.3166356641753514
0,dial-turn-v2,85000,1,3.368600837962494
0,dial-turn-v2,85000,2,3.3680188095786234
0,dial-turn-v2,85000,3,3.358503591198907
0,dial-turn-v2,85000,4,3.3389949537830215
0,dial-turn-v2,85000,5,3.364206206821547
0,dial-turn-v2,85000,6,3.3279855415146398
0,dial-turn-v2,85000,7,3.3340063100630766
0,dial-turn-v2,85000,8,3.3470131125828546
0,dial-turn-v2,85000,9,3.343210179025628
0,dial-turn-v2,90000,0,3.4897726618426934
0,dial-turn-v2,90000,1,3.5141194751151392
0,dial-turn-v2,90000,2,3.500861108835156
0,dial-turn-v2,90000,3,3.510514874033971
0,dial-turn-v2,90000,4,3.505221287583358
0,dial-turn-v2,90000,5,3.510530395571049
0,dial-turn-v2,90000,6,3.497716877191813
0,dial-turn-v2,90000,7,3.5053865640459794
0,dial-turn-v2,90000,8,3.519414543499603
0,dial-turn-v2,90000,9,3.5023490178794447
0,dial-turn-v2,95000,0,3.650014956341906
0,dial-turn-v2,95000,1,3.657222709079644
0,dial-turn-v2,95000,2,3.6761003770239666
0,dial-turn-v2,95000,3,3.735564715416288
0,dial-turn-v2,95000,4,3.7044347180893813
0,dial-turn-v2,95000,5,3.6619880149384345
0,dial-turn-v2,95000,6,3.683585359825164
0,dial-turn-v2,95000,7,3.6568355099508163
0,dial-turn-v2,95000,8,3.73950342142048
0,dial-turn-v2,95000,9,3.652022673799699
0,dial-turn-v2,100000,0,3.8391150813456485
0,dial-turn-v2,100000,1,3.843617199434443
0,dial-turn-v2,100000,2,3.8634787033443967
0,dial-turn-v2,100000,3,3.8658744531446816
0,dial-turn-v2,100000,4,3.849222251252266
0,dial-turn-v2,100000,5,3.853203022112913
0,dial-turn-v2,100000,6,3.8380886842717405
0,dial-turn-v2,100000,7,3.8616306721531024
0,dial-turn-v2,100000,8,3.842338483344559
0,dial-turn-v2,100000,9,3.850879177128511
0,door-unlock-v2,0,0,0.07948181542358172
0,door-unlock-v2,0,1,0.07947659944860558
0,door-unlock-v2,0,2,0.07947669960411688
0,door-unlock-v2,0,3,0.07950111666547034
0,door-unlock-v2,0,4,0.0794766515788573
0,door-unlock-v2,0,5,0.07947659960414777
0,door-unlock-v2,0,6,0.07947659948032719
0,door-unlock-v2,0,7,0.07947667097710562
0,door-unlock-v2,0,8,0.07947659940900909
0,door-unlock-v2,0,9,0.07947695696267519
0,door-unlock-v2,5000,0,0.23095574030724086
0,door-unlock-v2,5000,1,0.22999641431177295
0,door-unlock-v2,5000,2,0.23038956498393515
0,door-unlock-v2,5000,3,0.23054995757377458
0,door-unlock-v2,5000,4,0.23063242249686575
0,door-unlock-v2,5000,5,0.23066580016688965
0,door-unlock-v2,5000,6,0.23025175575314913
0,door-unlock-v2,5000,7,0.2307226155352352
0,door-unlock-v2,5000,8,0.23106419710921666
0,door-unlock-v2,5000,9,0.23058693324321825
0,door-unlock-v2,10000,0,0.42671977886824486
0,door-unlock-v2,10000,1,0.42482356852512415
0,door-unlock-v2,10000,2,0.4262175585050766
0,door-unlock-v2,10000,3,0.42628392114655156
0,door-unlock-v2,10000,4,0.42584405197384284
0,door-unlock-v2,10000,5,0.4259827746132246
0,door-unlock-v2,10000,6,0.4249203033662305
0,door-unlock-v2,10000,7,0.4262719117346161
0,door-unlock-v2,10000,8,0.4271043223870854
0,door-unlock-v2,10000,9,0.42568030310265337
0,door-unlock-v2,15000,0,0.6092753789315053
0,door-unlock-v2,15000,1,0.6086267348858667
0,door-unlock-v2,15000,2,0.6097668021807188
0,door-unlock-v2,15000,3,0.609914580761861
0,door-unlock-v2,15000,4,0.6096407246683807
0,door-unlock-v2,15000,5,0.6104097229471034
0,door-unlock-v2,15000,6,0.6084863647691655
0,door-unlock-v2,15000,7,0.6095541308159811
0,door-unlock-v2,15000,8,0.6103082377596952
0,door-unlock-v2,15000,9,0.6098794988011242
0,door-unlock-v2,20000,0,0.8081781526500529
0,door-unlock-v2,20000,1,0.8077129816194077
0,door-unlock-v2,20000,2,0.8091024030618486
0,door-unlock-v2,20000,3,0.808281418159445
0,door-unlock-v2,20000,4,0.8088211976367768
