,task,ns_seq_ind,rep,w1
0,dial-turn-v2,35000,4,1.4251662056868843
0,dial-turn-v2,35000,5,1.4238676191231443
0,dial-turn-v2,35000,6,1.4309542356533758
0,dial-turn-v2,35000,7,1.46136795019747
0,dial-turn-v2,35000,8,1.4673149679551896
0,dial-turn-v2,35000,9,1.5050243553520744
0,dial-turn-v2,40000,0,1.6240683763847164
0,dial-turn-v2,40000,1,1.6003795869411237
0,dial-turn-v2,40000,2,1.6619167767601208
0,dial-turn-v2,40000,3,1.601352468812274
0,dial-turn-v2,40000,4,1.6013249989557146
0,dial-turn-v2,40000,5,1.6278590514025706
0,dial-turn-v2,40000,6,1.662719397846019
0,dial-turn-v2,40000,7,1.6524692309466655
0,dial-turn-v2,40000,8,1.6000348350018418
0,dial-turn-v2,40000,9,1.6081415411014084
0,dial-turn-v2,45000,0,1.8608418127587742
0,dial-turn-v2,45000,1,1.8450886097536128
0,dial-turn-v2,45000,2,1.9961644650340928
0,dial-turn-v2,45000,3,1.8986907770338768
0,dial-turn-v2,45000,4,1.8515790093525304
0,dial-turn-v2,45000,5,2.096658355058218
0,dial-turn-v2,45000,6,1.8543378728851359
0,dial-turn-v2,45000,7,1.9122351223458856
0,dial-turn-v2,45000,8,1.8876477031550494
0,dial-turn-v2,45000,9,1.9615611993787723
0,dial-turn-v2,50000,0,1.9928279340759643
0,dial-turn-v2,50000,1,2.016274917469452
0,dial-turn-v2,50000,2,2.0261276147708998
0,dial-turn-v2,50000,3,2.102125309997729
0,dial-turn-v2,50000,4,2.0022682299229744
0,dial-turn-v2,50000,5,2.032351430596904
0,dial-turn-v2,50000,6,2.0258216530480913
0,dial-turn-v2,50000,7,1.9935869309192078
0,dial-turn-v2,50000,8,2.0096571902471467
0,dial-turn-v2,50000,9,1.9944699249154316
0,dial-turn-v2,55000,0,2.206274447491173
0,dial-turn-v2,55000,1,2.2546484892786256
0,dial-turn-v2,55000,2,2.226558191216456
0,dial-turn-v2,55000,3,2.312960674731145
0,dial-turn-v2,55000,4,2.2428342967359285
0,dial-turn-v2,55000,5,2.298102663944394
0,dial-turn-v2,55000,6,2.2105230327989056
0,dial-turn-v2,55000,7,2.254838308032119
0,dial-turn-v2,55000,8,2.25956652885754
0,dial-turn-v2,55000,9,2.26768446037894
0,dial-turn-v2,60000,0,2.3847905047638904
0,dial-turn-v2,60000,1,2.4060651657428775
0,dial-turn-v2,60000,2,2.399793338021927
0,dial-turn-v2,60000,3,2.4069186584600333
0,dial-turn-v2,60000,4,2.402138897675846
0,dial-turn-v2,60000,5,2.4044630998810326
0,dial-turn-v2,60000,6,2.412681667799799
0,dial-turn-v2,60000,7,2.3988322005470915
0,dial-turn-v2,60000,8,2.4143905673641584
0,dial-turn-v2,60000,9,2.395241697644333
0,dial-turn-v2,65000,0,2.590364342494143
0,dial-turn-v2,65000,1,2.7306613258027164
0,dial-turn-v2,65000,2,2.587434312918313
0,dial-turn-v2,65000,3,2.6139079482193788
0,dial-turn-v2,65000,4,2.591512114891144
0,dial-turn-v2,65000,5,2.5900661859814647
0,dial-turn-v2,65000,6,2.586247944548278
0,dial-turn-v2,65000,7,2.599425468188089
0,dial-turn-v2,65000,8,2.607634164838565
0,dial-turn-v2,65000,9,2.6353878695611677
0,dial-turn-v2,70000,0,2.7691877225803383
0,dial-turn-v2,70000,1,2.7528486134341663
0,dial-turn-v2,70000,2,2.78818553287623
0,dial-turn-v2,70000,3,2.754707357377333
0,dial-turn-v2,70000,4,2.7519409750359523
0,dial-turn-v2,70000,5,2.7683305755202965
0,dial-turn-v2,70000,6,2.789439212752637
0,dial-turn-v2,70000,7,2.777430740808396
0,dial-turn-v2,70000,8,2.755113572797201
0,dial-turn-v2,70000,9,2.7511827826939474
0,dial-turn-v2,75000,0,2.991536353058313
0,dial-turn-v2,75000,1,2.9850575003612443
0,dial-turn-v2,75000,2,3.087746284547017
0,dial-turn-v2,75000,3,3.021254851871194
0,dial-turn-v2,75000,4,2.9865091228274943
0,dial-turn-v2,75000,5,3.1763026052589804
0,dial-turn-v2,75000,6,2.992104214520802
0,dial-turn-v2,75000,7,3.0222521301414833
0,dial-turn-v2,75000,8,3.0115775218693432
0,dial-turn-v2,75000,9,3.0619928730286166
0,dial-turn-v2,80000,0,3.128295704051723
0,dial-turn-v2,80000,1,3.14485591948723
0,dial-turn-v2,80000,2,3.150702206367504
0,dial-turn-v2,80000,3,3.209121207299757
0,dial-turn-v2,80000,4,3.131865135639198
0,dial-turn-v2,80000,5,3.156853654514511
0,dial-turn-v2,80000,6,3.1480810410237168
0,dial-turn-v2,80000,7,3.1284572160158506
0,dial-turn-v2,80000,8,3.1433850314304035
0,dial-turn-v2,80000,9,3.130062732297823
0,dial-turn-v2,85000,0,3.3374769590455844
0,dial-turn-v2,85000,1,3.369908297582513
0,dial-turn-v2,85000,2,3.358829562295286
0,dial-turn-v2,85000,3,3.4205781486032394
0,dial-turn-v2,85000,4,3.362760380244977
0,dial-turn-v2,85000,5,3.3985594705828683
0,dial-turn-v2,85000,6,3.3424188803082813
0,dial-turn-v2,85000,7,3.3729690834112223
0,dial-turn-v2,85000,8,3.38291895169112
0,dial-turn-v2,85000,9,3.3807782053457207
0,dial-turn-v2,90000,0,3.4968150152013195
0,dial-turn-v2,90000,1,3.517659337781702
0,dial-turn-v2,90000,2,3.5142490349360855
0,dial-turn-v2,90000,3,3.519135051010299
0,dial-turn-v2,90000,4,3.5187536805344006
0,dial-turn-v2,90000,5,3.517258234183198
0,dial-turn-v2,90000,6,3.519692382143347
0,dial-turn-v2,90000,7,3.508612379849214
0,dial-turn-v2,90000,8,3.5232103627000977
0,dial-turn-v2,90000,9,3.5124651777118925
0,dial-turn-v2,95000,0,3.6840322637748004
0,dial-turn-v2,95000,1,3.7864351463009855
0,dial-turn-v2,95000,2,3.681959456089039
0,dial-turn-v2,95000,3,3.7064986796798363
0,dial-turn-v2,95000,4,3.685838119207763
0,dial-turn-v2,95000,5,3.684204623874883
0,dial-turn-v2,95000,6,3.683525148218871
0,dial-turn-v2,95000,7,3.6888847146279264
0,dial-turn-v2,95000,8,3.6957387845453904
0,dial-turn-v2,95000,9,3.717836521489252
0,dial-turn-v2,100000,0,3.863221497499804
0,dial-turn-v2,100000,1,3.8529882119373995
0,dial-turn-v2,100000,2,3.8795727413212067
0,dial-turn-v2,100000,3,3.850288829886049
0,dial-turn-v2,100000,4,3.8466172740670945
0,dial-turn-v2,100000,5,3.858049487997994
0,dial-turn-v2,100000,6,3.8830846109593082
0,dial-turn-v2,100000,7,3.868546839516865
0,dial-turn-v2,100000,8,3.854730569515101
0,dial-turn-v2,100000,9,3.8551111604467336
0,door-unlock-v2,0,0,0.17717869565962524
0,door-unlock-v2,0,1,0.1771785666201866
0,door-unlock-v2,0,2,0.17717856740691781
0,door-unlock-v2,0,3,0.1771785665670319
0,door-unlock-v2,0,4,0.17717857032402737
0,door-unlock-v2,0,5,0.17717879229082767
0,door-unlock-v2,0,6,0.1771786621262222
0,door-unlock-v2,0,7,0.1771785665423851
0,door-unlock-v2,0,8,0.17717856663445017
0,door-unlock-v2,0,9,0.17717858745437565
0,door-unlock-v2,5000,0,0.23997273277193812
0,door-unlock-v2,5000,1,0.2390591597016175
0,door-unlock-v2,5000,2,0.23947009344275455
0,door-unlock-v2,5000,3,0.23958646840046424
0,door-unlock-v2,5000,4,0.23965449139278422
0,door-unlock-v2,5000,5,0.23972631805993982
0,door-unlock-v2,5000,6,0.23932077268588933
0,door-unlock-v2,5000,7,0.23977128486892285
0,door-unlock-v2,5000,8,0.2401248847176309
0,door-unlock-v2,5000,9,0.2396457180619802
0,door-unlock-v2,10000,0,0.43064382012942304
0,door-unlock-v2,10000,1,0.42874772653106874
0,door-unlock-v2,10000,2,0.43015600486468564
0,door-unlock-v2,10000,3,0.43016744754455033
0,door-unlock-v2,10000,4,0.42973485049433263
0,door-unlock-v2,10000,5,0.4299405964376004
0,door-unlock-v2,10000,6,0.42886209488547955
0,door-unlock-v2,10000,7,0.43027329631505457
0,door-unlock-v2,10000,8,0.4309148279492855
0,door-unlock-v2,10000,9,0.4296216971604539
0,door-unlock-v2,15000,0,0.6116157557253221
0,door-unlock-v2,15000,1,0.611811311484043
0,door-unlock-v2,15000,2,0.6121652109883123
0,door-unlock-v2,15000,3,0.611911002577728
0,door-unlock-v2,15000,4,0.612999117661957
0,door-unlock-v2,15000,5,0.6125578476125195
0,door-unlock-v2,15000,6,0.6105397287679929
0,door-unlock-v2,15000,7,0.6117217991541775
0,door-unlock-v2,15000,8,0.6126665502008936
0,door-unlock-v2,15000,9,0.6119763474585674
0,door-unlock-v2,20000,0,0.7974862668388277
0,door-unlock-v2,20000,1,0.797245184472769
0,door-unlock-v2,20000,2,0.7978023278412014
0,door-unlock-v2,20000,3,0.7978918872564851
0,door-unlock-v2,20000,4,0.7983042257197689
0,door-unlock-v2,20000,5,0.7984974761573159
0,door-unlock-v2,20000,6,0.7962080038714179
0,door-unlock-v2,20000,7,0.7975710420362422
0,door-unlock-v2,20000,8,0.7982828462217886
0,door-unlock-v2,20000,9,0.7978960255635681
0,door-unlock-v2,25000,0,1.019978969540572
0,door-unlock-v2,25000,1,1.0189299460641075
0,door-unlock-v2,25000,2,1.0206097603281667
0,door-unlock-v2,25000,3,1.0205151275462905
0,door-unlock-v2,25000,4,1.020437508744236
0,door-unlock-v2,25000,5,1.0209191488535658
0,door-unlock-v2,25000,6,1.0167920941326964
0,door-unlock-v2,25000,7,1.0190541903217691
0,door-unlock-v2,25000,8,1.0196138130196255
0,door-unlock-v2,25000,9,1.019584384467096
0,door-unlock-v2,30000,0,1.2338196626868185
0,door-unlock-v2,30000,1,1.2342963760095478
0,door-unlock-v2,30000,2,1.2353962128130074
0,door-unlock-v2,30000,3,1.2352733650221983
0,door-unlock-v2,30000,4,1.2349580776382139
0,door-unlock-v2,30000,5,1.2335170511411344
0,door-unlock-v2,30000,6,1.2312629904055588
0,door-unlock-v2,30000,7,1.2343883658821961
0,door-unlock-v2,30000,8,1.2345492529518942
0,door-unlock-v2,30000,9,1.233658861303259
0,door-unlock-v2,35000,0,1.4107007029128118
0,door-unlock-v2,35000,1,1.4127820808762714
0,door-unlock-v2,35000,2,1.4136045004361788
0,door-unlock-v2,35000,3,1.41149797307565
0,door-unlock-v2,35000,4,1.4123764442286175
0,door-unlock-v2,35000,5,1.4147906906406273
0,door-unlock-v2,35000,6,1.408338914836566
0,door-unlock-v2,35000,7,1.4118362423172117
0,door-unlock-v2,35000,8,1.4134632510732796
0,door-unlock-v2,35000,9,1.410877619400345
0,door-unlock-v2,40000,0,1.611114761455609
0,door-unlock-v2,40000,1,1.6123540505952039
0,door-unlock-v2,40000,2,1.6122390878846415
0,door-unlock-v2,40000,3,1.6116989197881169
0,door-unlock-v2,40000,4,1.6077934988389198
0,door-unlock-v2,40000,5,1.6111065937726405
0,door-unlock-v2,40000,6,1.6049624547203316
0,door-unlock-v2,40000,7,1.60769071602007
0,door-unlock-v2,40000,8,1.6091308781932339
0,door-unlock-v2,40000,9,1.6110184370775595
0,door-unlock-v2,45000,0,1.7985575028848502
0,door-unlock-v2,45000,1,1.800433619927925
0,door-unlock-v2,45000,2,1.8024177063564255
0,door-unlock-v2,45000,3,1.8038823057765494
